Email,Status,Role,Activities completed,Last active
student0047@sample.tri-ai.test,Active,Member,5,2026-04-17 17:29:00 UTC
student0048@sample.tri-ai.test,Active,Member,0,2026-04-14 10:36:00 UTC
student0049@sample.tri-ai.test,Active,Member,1,2026-04-17 11:43:00 UTC
student0050@sample.tri-ai.test,Active,Member,2,2026-04-14 12:50:00 UTC
student0051@sample.tri-ai.test,Active,Member,3,2026-04-17 13:57:00 UTC
student0052@sample.tri-ai.test,Active,Member,4,2026-04-14 14:04:00 UTC
student0053@sample.tri-ai.test,Active,Member,5,2026-04-17 15:11:00 UTC
student0054@sample.tri-ai.test,Active,Member,0,2026-04-14 16:18:00 UTC
student0055@sample.tri-ai.test,Active,Member,1,2026-04-17 17:25:00 UTC
student0056@sample.tri-ai.test,Active,Member,2,2026-04-14 10:32:00 UTC
student0057@sample.tri-ai.test,Active,Member,3,2026-04-17 11:39:00 UTC
student0058@sample.tri-ai.test,Active,Member,4,2026-04-14 12:46:00 UTC
student0059@sample.tri-ai.test,Active,Member,5,2026-04-17 13:53:00 UTC
student0060@sample.tri-ai.test,Active,Member,0,2026-04-14 14:00:00 UTC
student0061@sample.tri-ai.test,Active,Member,1,2026-04-17 15:07:00 UTC
student0062@sample.tri-ai.test,Active,Member,2,2026-04-14 16:14:00 UTC
student0063@sample.tri-ai.test,Active,Member,3,2026-04-17 17:21:00 UTC
student0064@sample.tri-ai.test,Active,Member,4,2026-04-14 10:28:00 UTC
student0065@sample.tri-ai.test,Active,Member,5,2026-04-17 11:35:00 UTC
student0066@sample.tri-ai.test,Active,Member,0,2026-04-14 12:42:00 UTC
student0067@sample.tri-ai.test,Active,Member,1,2026-04-17 13:49:00 UTC
student0068@sample.tri-ai.test,Active,Member,2,2026-04-14 14:56:00 UTC
student0069@sample.tri-ai.test,Active,Member,3,2026-04-17 15:03:00 UTC
student0070@sample.tri-ai.test,Active,Member,4,2026-04-14 16:10:00 UTC
student0071@sample.tri-ai.test,Active,Member,5,2026-04-17 17:17:00 UTC
student0072@sample.tri-ai.test,Active,Member,0,2026-04-14 10:24:00 UTC
student0073@sample.tri-ai.test,Active,Member,1,2026-04-17 11:31:00 UTC
student0074@sample.tri-ai.test,Active,Member,2,2026-04-14 12:38:00 UTC
student0075@sample.tri-ai.test,Active,Member,3,2026-04-17 13:45:00 UTC
student0076@sample.tri-ai.test,Active,Member,4,2026-04-14 14:52:00 UTC
student0077@sample.tri-ai.test,Active,Member,5,2026-04-17 15:59:00 UTC
student0078@sample.tri-ai.test,Active,Member,0,2026-04-14 16:06:00 UTC
student0079@sample.tri-ai.test,Active,Member,1,2026-04-17 17:13:00 UTC
student0080@sample.tri-ai.test,Active,Member,2,2026-04-14 10:20:00 UTC
student0081@sample.tri-ai.test,Active,Member,3,2026-04-17 11:27:00 UTC
student0082@sample.tri-ai.test,Active,Member,4,2026-04-14 12:34:00 UTC
student0083@sample.tri-ai.test,Active,Member,5,2026-04-17 13:41:00 UTC
student0084@sample.tri-ai.test,Active,Member,0,2026-04-14 14:48:00 UTC
student0085@sample.tri-ai.test,Active,Member,1,2026-04-17 15:55:00 UTC
student0086@sample.tri-ai.test,Active,Member,2,2026-04-14 16:02:00 UTC
student0087@sample.tri-ai.test,Active,Member,3,2026-04-17 17:09:00 UTC
student0088@sample.tri-ai.test,Active,Member,4,2026-04-14 10:16:00 UTC
student0089@sample.tri-ai.test,Active,Member,5,2026-04-17 11:23:00 UTC
student0090@sample.tri-ai.test,Active,Member,0,2026-04-14 12:30:00 UTC
student0091@sample.tri-ai.test,Active,Member,1,2026-04-17 13:37:00 UTC
student0092@sample.tri-ai.test,Active,Member,2,2026-04-14 14:44:00 UTC
student0093@sample.tri-ai.test,Active,Member,3,2026-04-17 15:51:00 UTC
student0094@sample.tri-ai.test,Active,Member,4,2026-04-14 16:58:00 UTC
student0095@sample.tri-ai.test,Active,Member,5,2026-04-17 17:05:00 UTC
student0096@sample.tri-ai.test,Active,Member,0,2026-04-14 10:12:00 UTC
student0097@sample.tri-ai.test,Active,Member,1,2026-04-17 11:19:00 UTC
student0098@sample.tri-ai.test,Active,Member,2,2026-04-14 12:26:00 UTC
student0099@sample.tri-ai.test,Active,Member,3,2026-04-17 13:33:00 UTC
student0100@sample.tri-ai.test,Active,Member,4,2026-04-14 14:40:00 UTC
student0101@sample.tri-ai.test,Active,Member,5,2026-04-17 15:47:00 UTC
student0102@sample.tri-ai.test,Active,Member,0,2026-04-14 16:54:00 UTC
student0103@sample.tri-ai.test,Active,Member,1,2026-04-17 17:01:00 UTC
student0104@sample.tri-ai.test,Active,Member,2,2026-04-14 10:08:00 UTC
student0105@sample.tri-ai.test,Active,Member,3,2026-04-17 11:15:00 UTC
student0106@sample.tri-ai.test,Active,Member,4,2026-04-14 12:22:00 UTC
student0107@sample.tri-ai.test,Active,Member,5,2026-04-17 13:29:00 UTC
student0108@sample.tri-ai.test,Active,Member,0,2026-04-14 14:36:00 UTC
student0109@sample.tri-ai.test,Active,Member,1,2026-04-17 15:43:00 UTC
student0110@sample.tri-ai.test,Active,Member,2,2026-04-14 16:50:00 UTC
student0111@sample.tri-ai.test,Active,Member,3,2026-04-17 17:57:00 UTC
student0112@sample.tri-ai.test,Active,Member,4,2026-04-14 10:04:00 UTC
student0113@sample.tri-ai.test,Active,Member,5,2026-04-17 11:11:00 UTC
student0114@sample.tri-ai.test,Active,Member,0,2026-04-14 12:18:00 UTC
student0115@sample.tri-ai.test,Active,Member,1,2026-04-17 13:25:00 UTC
student0116@sample.tri-ai.test,Active,Member,2,2026-04-14 14:32:00 UTC
student0117@sample.tri-ai.test,Active,Member,3,2026-04-17 15:39:00 UTC
student0118@sample.tri-ai.test,Active,Member,4,2026-04-14 16:46:00 UTC
student0119@sample.tri-ai.test,Active,Member,5,2026-04-17 17:53:00 UTC
student0120@sample.tri-ai.test,Active,Member,0,2026-04-14 10:00:00 UTC
student0121@sample.tri-ai.test,Active,Member,1,2026-04-17 11:07:00 UTC
student0122@sample.tri-ai.test,Active,Member,2,2026-04-14 12:14:00 UTC
student0123@sample.tri-ai.test,Active,Member,3,2026-04-17 13:21:00 UTC
student0124@sample.tri-ai.test,Active,Member,4,2026-04-14 14:28:00 UTC
student0125@sample.tri-ai.test,Active,Member,5,2026-04-17 15:35:00 UTC
student0126@sample.tri-ai.test,Active,Member,0,2026-04-14 16:42:00 UTC
student0127@sample.tri-ai.test,Active,Member,1,2026-04-17 17:49:00 UTC
student0128@sample.tri-ai.test,Active,Member,2,2026-04-14 10:56:00 UTC
student0129@sample.tri-ai.test,Active,Member,3,2026-04-17 11:03:00 UTC
student0130@sample.tri-ai.test,Active,Member,4,2026-04-14 12:10:00 UTC
student0131@sample.tri-ai.test,Active,Member,5,2026-04-17 13:17:00 UTC
student0132@sample.tri-ai.test,Active,Member,0,2026-04-14 14:24:00 UTC
student0133@sample.tri-ai.test,Active,Member,1,2026-04-17 15:31:00 UTC
student0134@sample.tri-ai.test,Active,Member,2,2026-04-14 16:38:00 UTC
student0135@sample.tri-ai.test,Active,Member,3,2026-04-17 17:45:00 UTC
student0136@sample.tri-ai.test,Active,Member,4,2026-04-14 10:52:00 UTC
student0137@sample.tri-ai.test,Active,Member,5,2026-04-17 11:59:00 UTC
student0138@sample.tri-ai.test,Active,Member,0,2026-04-14 12:06:00 UTC
student0139@sample.tri-ai.test,Active,Member,1,2026-04-17 13:13:00 UTC
student0140@sample.tri-ai.test,Active,Member,2,2026-04-14 14:20:00 UTC
student0141@sample.tri-ai.test,Active,Member,3,2026-04-17 15:27:00 UTC
student0142@sample.tri-ai.test,Active,Member,4,2026-04-14 16:34:00 UTC
student0143@sample.tri-ai.test,Active,Member,5,2026-04-17 17:41:00 UTC
student0144@sample.tri-ai.test,Active,Member,0,2026-04-14 10:48:00 UTC
student0145@sample.tri-ai.test,Active,Member,1,2026-04-17 11:55:00 UTC
student0146@sample.tri-ai.test,Active,Member,2,2026-04-14 12:02:00 UTC
student0147@sample.tri-ai.test,Active,Member,3,2026-04-17 13:09:00 UTC
student0148@sample.tri-ai.test,Active,Member,4,2026-04-14 14:16:00 UTC
student0149@sample.tri-ai.test,Active,Member,5,2026-04-17 15:23:00 UTC
student0150@sample.tri-ai.test,Active,Member,0,2026-04-14 16:30:00 UTC
student0151@sample.tri-ai.test,Active,Member,1,2026-04-17 17:37:00 UTC
student0152@sample.tri-ai.test,Active,Member,2,2026-04-14 10:44:00 UTC
student0153@sample.tri-ai.test,Active,Member,3,2026-04-17 11:51:00 UTC
student0154@sample.tri-ai.test,Active,Member,4,2026-04-14 12:58:00 UTC
student0155@sample.tri-ai.test,Active,Member,5,2026-04-17 13:05:00 UTC
student0156@sample.tri-ai.test,Active,Member,0,2026-04-14 14:12:00 UTC
student0157@sample.tri-ai.test,Active,Member,1,2026-04-17 15:19:00 UTC
student0158@sample.tri-ai.test,Active,Member,2,2026-04-14 16:26:00 UTC
student0159@sample.tri-ai.test,Active,Member,3,2026-04-17 17:33:00 UTC
student0160@sample.tri-ai.test,Active,Member,4,2026-04-14 10:40:00 UTC
student0161@sample.tri-ai.test,Active,Member,5,2026-04-17 11:47:00 UTC
student0162@sample.tri-ai.test,Active,Member,0,2026-04-14 12:54:00 UTC
student0163@sample.tri-ai.test,Active,Member,1,2026-04-17 13:01:00 UTC
student0164@sample.tri-ai.test,Active,Member,2,2026-04-14 14:08:00 UTC
student0165@sample.tri-ai.test,Active,Member,3,2026-04-17 15:15:00 UTC
student0166@sample.tri-ai.test,Active,Member,4,2026-04-14 16:22:00 UTC
student0167@sample.tri-ai.test,Active,Member,5,2026-04-17 17:29:00 UTC
student0168@sample.tri-ai.test,Active,Member,0,2026-04-14 10:36:00 UTC
student0169@sample.tri-ai.test,Active,Member,1,2026-04-17 11:43:00 UTC
student0170@sample.tri-ai.test,Active,Member,2,2026-04-14 12:50:00 UTC
student0171@sample.tri-ai.test,Active,Member,3,2026-04-17 13:57:00 UTC
student0172@sample.tri-ai.test,Active,Member,4,2026-04-14 14:04:00 UTC
student0173@sample.tri-ai.test,Active,Member,5,2026-04-17 15:11:00 UTC
student0174@sample.tri-ai.test,Active,Member,0,2026-04-14 16:18:00 UTC
student0175@sample.tri-ai.test,Active,Member,1,2026-04-17 17:25:00 UTC
student0176@sample.tri-ai.test,Active,Member,2,2026-04-14 10:32:00 UTC
student0177@sample.tri-ai.test,Active,Member,3,2026-04-17 11:39:00 UTC
student0178@sample.tri-ai.test,Active,Member,4,2026-04-14 12:46:00 UTC
student0179@sample.tri-ai.test,Active,Member,5,2026-04-17 13:53:00 UTC
student0180@sample.tri-ai.test,Active,Member,0,2026-04-14 14:00:00 UTC
student0181@sample.tri-ai.test,Active,Member,1,2026-04-17 15:07:00 UTC
student0182@sample.tri-ai.test,Active,Member,2,2026-04-14 16:14:00 UTC
student0183@sample.tri-ai.test,Active,Member,3,2026-04-17 17:21:00 UTC
student0184@sample.tri-ai.test,Active,Member,4,2026-04-14 10:28:00 UTC
student0185@sample.tri-ai.test,Active,Member,5,2026-04-17 11:35:00 UTC
student0186@sample.tri-ai.test,Active,Member,0,2026-04-14 12:42:00 UTC
student0187@sample.tri-ai.test,Active,Member,1,2026-04-17 13:49:00 UTC
student0188@sample.tri-ai.test,Active,Member,2,2026-04-14 14:56:00 UTC
student0189@sample.tri-ai.test,Active,Member,3,2026-04-17 15:03:00 UTC
student0190@sample.tri-ai.test,Active,Member,4,2026-04-14 16:10:00 UTC
student0191@sample.tri-ai.test,Active,Member,5,2026-04-17 17:17:00 UTC
student0192@sample.tri-ai.test,Active,Member,0,2026-04-14 10:24:00 UTC
student0193@sample.tri-ai.test,Active,Member,1,2026-04-17 11:31:00 UTC
student0194@sample.tri-ai.test,Active,Member,2,2026-04-14 12:38:00 UTC
student0195@sample.tri-ai.test,Active,Member,3,2026-04-17 13:45:00 UTC
student0196@sample.tri-ai.test,Active,Member,4,2026-04-14 14:52:00 UTC
student0197@sample.tri-ai.test,Active,Member,5,2026-04-17 15:59:00 UTC
student0198@sample.tri-ai.test,Active,Member,0,2026-04-14 16:06:00 UTC
student0199@sample.tri-ai.test,Active,Member,1,2026-04-17 17:13:00 UTC
student0200@sample.tri-ai.test,Active,Member,2,2026-04-14 10:20:00 UTC
student0201@sample.tri-ai.test,Active,Member,3,2026-04-17 11:27:00 UTC
student0202@sample.tri-ai.test,Active,Member,4,2026-04-14 12:34:00 UTC
student0203@sample.tri-ai.test,Active,Member,5,2026-04-17 13:41:00 UTC
student0204@sample.tri-ai.test,Active,Member,0,2026-04-14 14:48:00 UTC
student0205@sample.tri-ai.test,Active,Member,1,2026-04-17 15:55:00 UTC
student0206@sample.tri-ai.test,Active,Member,2,2026-04-14 16:02:00 UTC
student0207@sample.tri-ai.test,Active,Member,3,2026-04-17 17:09:00 UTC
student0208@sample.tri-ai.test,Active,Member,4,2026-04-14 10:16:00 UTC
student0209@sample.tri-ai.test,Active,Member,5,2026-04-17 11:23:00 UTC
student0210@sample.tri-ai.test,Active,Member,0,2026-04-14 12:30:00 UTC
student0211@sample.tri-ai.test,Active,Member,1,2026-04-17 13:37:00 UTC
student0212@sample.tri-ai.test,Active,Member,2,2026-04-14 14:44:00 UTC
student0213@sample.tri-ai.test,Active,Member,3,2026-04-17 15:51:00 UTC
student0214@sample.tri-ai.test,Active,Member,4,2026-04-14 16:58:00 UTC
student0215@sample.tri-ai.test,Active,Member,5,2026-04-17 17:05:00 UTC
student0216@sample.tri-ai.test,Active,Member,0,2026-04-14 10:12:00 UTC
student0217@sample.tri-ai.test,Active,Member,1,2026-04-17 11:19:00 UTC
student0218@sample.tri-ai.test,Active,Member,2,2026-04-14 12:26:00 UTC
student0219@sample.tri-ai.test,Active,Member,3,2026-04-17 13:33:00 UTC
student0220@sample.tri-ai.test,Active,Member,4,2026-04-14 14:40:00 UTC
student0221@sample.tri-ai.test,Active,Member,5,2026-04-17 15:47:00 UTC
student0222@sample.tri-ai.test,Active,Member,0,2026-04-14 16:54:00 UTC
student0223@sample.tri-ai.test,Active,Member,1,2026-04-17 17:01:00 UTC
student0224@sample.tri-ai.test,Active,Member,2,2026-04-14 10:08:00 UTC
student0225@sample.tri-ai.test,Active,Member,3,2026-04-17 11:15:00 UTC
student0226@sample.tri-ai.test,Active,Member,4,2026-04-14 12:22:00 UTC
student0227@sample.tri-ai.test,Active,Member,5,2026-04-17 13:29:00 UTC
student0228@sample.tri-ai.test,Active,Member,0,2026-04-14 14:36:00 UTC
student0229@sample.tri-ai.test,Active,Member,1,2026-04-17 15:43:00 UTC
student0230@sample.tri-ai.test,Active,Member,2,2026-04-14 16:50:00 UTC
student0231@sample.tri-ai.test,Active,Member,3,2026-04-17 17:57:00 UTC
student0232@sample.tri-ai.test,Active,Member,4,2026-04-14 10:04:00 UTC
student0233@sample.tri-ai.test,Active,Member,5,2026-04-17 11:11:00 UTC
student0234@sample.tri-ai.test,Active,Member,0,2026-04-14 12:18:00 UTC
student0235@sample.tri-ai.test,Active,Member,1,2026-04-17 13:25:00 UTC
student0236@sample.tri-ai.test,Active,Member,2,2026-04-14 14:32:00 UTC
student0237@sample.tri-ai.test,Active,Member,3,2026-04-17 15:39:00 UTC
student0238@sample.tri-ai.test,Active,Member,4,2026-04-14 16:46:00 UTC
student0239@sample.tri-ai.test,Active,Member,5,2026-04-17 17:53:00 UTC
student0240@sample.tri-ai.test,Active,Member,0,2026-04-14 10:00:00 UTC
student0241@sample.tri-ai.test,Active,Member,1,2026-04-17 11:07:00 UTC
student0242@sample.tri-ai.test,Active,Member,2,2026-04-14 12:14:00 UTC
student0243@sample.tri-ai.test,Active,Member,3,2026-04-17 13:21:00 UTC
student0244@sample.tri-ai.test,Active,Member,4,2026-04-14 14:28:00 UTC
student0245@sample.tri-ai.test,Active,Member,5,2026-04-17 15:35:00 UTC
student0246@sample.tri-ai.test,Active,Member,0,2026-04-14 16:42:00 UTC
student0247@sample.tri-ai.test,Active,Member,1,2026-04-17 17:49:00 UTC
student0248@sample.tri-ai.test,Active,Member,2,2026-04-14 10:56:00 UTC
student0249@sample.tri-ai.test,Active,Member,3,2026-04-17 11:03:00 UTC
student0250@sample.tri-ai.test,Active,Member,4,2026-04-14 12:10:00 UTC
student0251@sample.tri-ai.test,Active,Member,5,2026-04-17 13:17:00 UTC
student0252@sample.tri-ai.test,Active,Member,0,2026-04-14 14:24:00 UTC
student0253@sample.tri-ai.test,Active,Member,1,2026-04-17 15:31:00 UTC
student0254@sample.tri-ai.test,Active,Member,2,2026-04-14 16:38:00 UTC
student0255@sample.tri-ai.test,Active,Member,3,2026-04-17 17:45:00 UTC
student0256@sample.tri-ai.test,Active,Member,4,2026-04-14 10:52:00 UTC
student0257@sample.tri-ai.test,Active,Member,5,2026-04-17 11:59:00 UTC
student0258@sample.tri-ai.test,Active,Member,0,2026-04-14 12:06:00 UTC
student0259@sample.tri-ai.test,Active,Member,1,2026-04-17 13:13:00 UTC
student0260@sample.tri-ai.test,Active,Member,2,2026-04-14 14:20:00 UTC
student0261@sample.tri-ai.test,Active,Member,3,2026-04-17 15:27:00 UTC
student0262@sample.tri-ai.test,Active,Member,4,2026-04-14 16:34:00 UTC
student0263@sample.tri-ai.test,Active,Member,5,2026-04-17 17:41:00 UTC
student0264@sample.tri-ai.test,Active,Member,0,2026-04-14 10:48:00 UTC
student0265@sample.tri-ai.test,Active,Member,1,2026-04-17 11:55:00 UTC
student0266@sample.tri-ai.test,Active,Member,2,2026-04-14 12:02:00 UTC
student0267@sample.tri-ai.test,Active,Member,3,2026-04-17 13:09:00 UTC
student0268@sample.tri-ai.test,Active,Member,4,2026-04-14 14:16:00 UTC
student0269@sample.tri-ai.test,Active,Member,5,2026-04-17 15:23:00 UTC
student0270@sample.tri-ai.test,Active,Member,0,2026-04-14 16:30:00 UTC
student0271@sample.tri-ai.test,Active,Member,1,2026-04-17 17:37:00 UTC
student0272@sample.tri-ai.test,Active,Member,2,2026-04-14 10:44:00 UTC
student0273@sample.tri-ai.test,Active,Member,3,2026-04-17 11:51:00 UTC
student0274@sample.tri-ai.test,Active,Member,4,2026-04-14 12:58:00 UTC
student0275@sample.tri-ai.test,Active,Member,5,2026-04-17 13:05:00 UTC
student0276@sample.tri-ai.test,Active,Member,0,2026-04-14 14:12:00 UTC
student0277@sample.tri-ai.test,Active,Member,1,2026-04-17 15:19:00 UTC
student0278@sample.tri-ai.test,Active,Member,2,2026-04-14 16:26:00 UTC
student0279@sample.tri-ai.test,Active,Member,3,2026-04-17 17:33:00 UTC
student0280@sample.tri-ai.test,Active,Member,4,2026-04-14 10:40:00 UTC
student0281@sample.tri-ai.test,Active,Member,5,2026-04-17 11:47:00 UTC
student0282@sample.tri-ai.test,Active,Member,0,2026-04-14 12:54:00 UTC
student0283@sample.tri-ai.test,Active,Member,1,2026-04-17 13:01:00 UTC
student0284@sample.tri-ai.test,Active,Member,2,2026-04-14 14:08:00 UTC
student0285@sample.tri-ai.test,Active,Member,3,2026-04-17 15:15:00 UTC
student0286@sample.tri-ai.test,Active,Member,4,2026-04-14 16:22:00 UTC
student0287@sample.tri-ai.test,Active,Member,5,2026-04-17 17:29:00 UTC
student0288@sample.tri-ai.test,Active,Member,0,2026-04-14 10:36:00 UTC
student0289@sample.tri-ai.test,Active,Member,1,2026-04-17 11:43:00 UTC
student0290@sample.tri-ai.test,Active,Member,2,2026-04-14 12:50:00 UTC
student0291@sample.tri-ai.test,Active,Member,3,2026-04-17 13:57:00 UTC
student0292@sample.tri-ai.test,Active,Member,4,2026-04-14 14:04:00 UTC
student0293@sample.tri-ai.test,Active,Member,5,2026-04-17 15:11:00 UTC
student0294@sample.tri-ai.test,Active,Member,0,2026-04-14 16:18:00 UTC
student0295@sample.tri-ai.test,Active,Member,1,2026-04-17 17:25:00 UTC
student0296@sample.tri-ai.test,Active,Member,2,2026-04-14 10:32:00 UTC
student0297@sample.tri-ai.test,Active,Member,3,2026-04-17 11:39:00 UTC
student0298@sample.tri-ai.test,Active,Member,4,2026-04-14 12:46:00 UTC
student0299@sample.tri-ai.test,Active,Member,5,2026-04-17 13:53:00 UTC
student0300@sample.tri-ai.test,Active,Member,0,2026-04-14 14:00:00 UTC
student0301@sample.tri-ai.test,Active,Member,1,2026-04-17 15:07:00 UTC
student0302@sample.tri-ai.test,Active,Member,2,2026-04-14 16:14:00 UTC
student0303@sample.tri-ai.test,Active,Member,3,2026-04-17 17:21:00 UTC
student0304@sample.tri-ai.test,Active,Member,4,2026-04-14 10:28:00 UTC
student0305@sample.tri-ai.test,Active,Member,5,2026-04-17 11:35:00 UTC
student0306@sample.tri-ai.test,Active,Member,0,2026-04-14 12:42:00 UTC
student0307@sample.tri-ai.test,Active,Member,1,2026-04-17 13:49:00 UTC
student0308@sample.tri-ai.test,Active,Member,2,2026-04-14 14:56:00 UTC
student0309@sample.tri-ai.test,Active,Member,3,2026-04-17 15:03:00 UTC
student0310@sample.tri-ai.test,Active,Member,4,2026-04-14 16:10:00 UTC
student0311@sample.tri-ai.test,Active,Member,5,2026-04-17 17:17:00 UTC
student0312@sample.tri-ai.test,Active,Member,0,2026-04-14 10:24:00 UTC
student0313@sample.tri-ai.test,Active,Member,1,2026-04-17 11:31:00 UTC
student0314@sample.tri-ai.test,Active,Member,2,2026-04-14 12:38:00 UTC
student0315@sample.tri-ai.test,Active,Member,3,2026-04-17 13:45:00 UTC
student0316@sample.tri-ai.test,Active,Member,4,2026-04-14 14:52:00 UTC
student0317@sample.tri-ai.test,Active,Member,5,2026-04-17 15:59:00 UTC
student0318@sample.tri-ai.test,Active,Member,0,2026-04-14 16:06:00 UTC
student0319@sample.tri-ai.test,Active,Member,1,2026-04-17 17:13:00 UTC
student0320@sample.tri-ai.test,Active,Member,2,2026-04-14 10:20:00 UTC
student0321@sample.tri-ai.test,Active,Member,3,2026-04-17 11:27:00 UTC
student0322@sample.tri-ai.test,Active,Member,4,2026-04-14 12:34:00 UTC
student0323@sample.tri-ai.test,Active,Member,5,2026-04-17 13:41:00 UTC
student0324@sample.tri-ai.test,Active,Member,0,2026-04-14 14:48:00 UTC
student0325@sample.tri-ai.test,Active,Member,1,2026-04-17 15:55:00 UTC
student0326@sample.tri-ai.test,Active,Member,2,2026-04-14 16:02:00 UTC
student0327@sample.tri-ai.test,Active,Member,3,2026-04-17 17:09:00 UTC
student0328@sample.tri-ai.test,Active,Member,4,2026-04-14 10:16:00 UTC
student0329@sample.tri-ai.test,Active,Member,5,2026-04-17 11:23:00 UTC
student0330@sample.tri-ai.test,Active,Member,0,2026-04-14 12:30:00 UTC
student0331@sample.tri-ai.test,Active,Member,1,2026-04-17 13:37:00 UTC
student0332@sample.tri-ai.test,Active,Member,2,2026-04-14 14:44:00 UTC
student0333@sample.tri-ai.test,Active,Member,3,2026-04-17 15:51:00 UTC
student0334@sample.tri-ai.test,Active,Member,4,2026-04-14 16:58:00 UTC
student0335@sample.tri-ai.test,Active,Member,5,2026-04-17 17:05:00 UTC
student0336@sample.tri-ai.test,Active,Member,0,2026-04-14 10:12:00 UTC
student0337@sample.tri-ai.test,Active,Member,1,2026-04-17 11:19:00 UTC
student0338@sample.tri-ai.test,Active,Member,2,2026-04-14 12:26:00 UTC
student0339@sample.tri-ai.test,Active,Member,3,2026-04-17 13:33:00 UTC
student0340@sample.tri-ai.test,Active,Member,4,2026-04-14 14:40:00 UTC
student0341@sample.tri-ai.test,Active,Member,5,2026-04-17 15:47:00 UTC
student0342@sample.tri-ai.test,Active,Member,0,2026-04-14 16:54:00 UTC
student0343@sample.tri-ai.test,Active,Member,1,2026-04-17 17:01:00 UTC
student0344@sample.tri-ai.test,Active,Member,2,2026-04-14 10:08:00 UTC
student0345@sample.tri-ai.test,Active,Member,3,2026-04-17 11:15:00 UTC
student0346@sample.tri-ai.test,Active,Member,4,2026-04-14 12:22:00 UTC
student0347@sample.tri-ai.test,Active,Member,5,2026-04-17 13:29:00 UTC
student0348@sample.tri-ai.test,Active,Member,0,2026-04-14 14:36:00 UTC
student0349@sample.tri-ai.test,Active,Member,1,2026-04-17 15:43:00 UTC
