Email,Team
student0095@sample.tri-ai.test,Team 10
student0096@sample.tri-ai.test,Team 10
student0097@sample.tri-ai.test,Team 10
student0098@sample.tri-ai.test,Team 10
student0099@sample.tri-ai.test,Team 10
student0100@sample.tri-ai.test,Team 10
student0101@sample.tri-ai.test,Team 11
student0102@sample.tri-ai.test,Team 11
student0103@sample.tri-ai.test,Team 11
student0104@sample.tri-ai.test,Team 11
student0105@sample.tri-ai.test,Team 11
student0106@sample.tri-ai.test,Team 11
student0107@sample.tri-ai.test,Team 11
student0108@sample.tri-ai.test,Team 11
student0109@sample.tri-ai.test,Team 11
student0110@sample.tri-ai.test,Team 11
student0111@sample.tri-ai.test,Team 12
student0112@sample.tri-ai.test,Team 12
student0113@sample.tri-ai.test,Team 12
student0114@sample.tri-ai.test,Team 12
student0115@sample.tri-ai.test,Team 12
student0116@sample.tri-ai.test,Team 12
student0117@sample.tri-ai.test,Team 12
student0118@sample.tri-ai.test,Team 12
student0119@sample.tri-ai.test,Team 12
student0120@sample.tri-ai.test,Team 12
student0121@sample.tri-ai.test,Team 13
student0122@sample.tri-ai.test,Team 13
student0123@sample.tri-ai.test,Team 13
student0124@sample.tri-ai.test,Team 13
student0125@sample.tri-ai.test,Team 13
student0126@sample.tri-ai.test,Team 13
student0127@sample.tri-ai.test,Team 13
student0128@sample.tri-ai.test,Team 13
student0129@sample.tri-ai.test,Team 13
student0130@sample.tri-ai.test,Team 13
student0131@sample.tri-ai.test,Team 14
student0132@sample.tri-ai.test,Team 14
student0133@sample.tri-ai.test,Team 14
student0134@sample.tri-ai.test,Team 14
student0135@sample.tri-ai.test,Team 14
student0136@sample.tri-ai.test,Team 14
student0137@sample.tri-ai.test,Team 14
student0138@sample.tri-ai.test,Team 14
student0139@sample.tri-ai.test,Team 14
student0140@sample.tri-ai.test,Team 14
student0141@sample.tri-ai.test,Team 15
student0142@sample.tri-ai.test,Team 15
student0143@sample.tri-ai.test,Team 15
student0144@sample.tri-ai.test,Team 15
student0145@sample.tri-ai.test,Team 15
student0146@sample.tri-ai.test,Team 15
student0147@sample.tri-ai.test,Team 15
student0148@sample.tri-ai.test,Team 15
student0149@sample.tri-ai.test,Team 15
student0150@sample.tri-ai.test,Team 15
student0151@sample.tri-ai.test,Team 16
student0152@sample.tri-ai.test,Team 16
student0153@sample.tri-ai.test,Team 16
student0154@sample.tri-ai.test,Team 16
student0155@sample.tri-ai.test,Team 16
student0156@sample.tri-ai.test,Team 16
student0157@sample.tri-ai.test,Team 16
student0158@sample.tri-ai.test,Team 16
student0159@sample.tri-ai.test,Team 16
student0160@sample.tri-ai.test,Team 16
student0161@sample.tri-ai.test,Team 17
student0162@sample.tri-ai.test,Team 17
student0163@sample.tri-ai.test,Team 17
student0164@sample.tri-ai.test,Team 17
student0165@sample.tri-ai.test,Team 17
student0166@sample.tri-ai.test,Team 17
student0167@sample.tri-ai.test,Team 17
student0168@sample.tri-ai.test,Team 17
student0169@sample.tri-ai.test,Team 17
student0170@sample.tri-ai.test,Team 17
student0171@sample.tri-ai.test,Team 18
student0172@sample.tri-ai.test,Team 18
student0173@sample.tri-ai.test,Team 18
student0174@sample.tri-ai.test,Team 18
student0175@sample.tri-ai.test,Team 18
student0176@sample.tri-ai.test,Team 18
student0177@sample.tri-ai.test,Team 18
student0178@sample.tri-ai.test,Team 18
student0179@sample.tri-ai.test,Team 18
student0180@sample.tri-ai.test,Team 18
student0181@sample.tri-ai.test,Team 19
student0182@sample.tri-ai.test,Team 19
student0183@sample.tri-ai.test,Team 19
student0184@sample.tri-ai.test,Team 19
student0185@sample.tri-ai.test,Team 19
student0186@sample.tri-ai.test,Team 19
student0187@sample.tri-ai.test,Team 19
student0188@sample.tri-ai.test,Team 19
student0189@sample.tri-ai.test,Team 19
student0190@sample.tri-ai.test,Team 19
student0191@sample.tri-ai.test,Team 20
student0192@sample.tri-ai.test,Team 20
student0193@sample.tri-ai.test,Team 20
student0194@sample.tri-ai.test,Team 20
student0195@sample.tri-ai.test,Team 20
student0196@sample.tri-ai.test,Team 20
student0197@sample.tri-ai.test,Team 20
student0198@sample.tri-ai.test,Team 20
student0199@sample.tri-ai.test,Team 20
student0200@sample.tri-ai.test,Team 20
student0201@sample.tri-ai.test,Team 21
student0202@sample.tri-ai.test,Team 21
student0203@sample.tri-ai.test,Team 21
student0204@sample.tri-ai.test,Team 21
student0205@sample.tri-ai.test,Team 21
student0206@sample.tri-ai.test,Team 21
student0207@sample.tri-ai.test,Team 21
student0208@sample.tri-ai.test,Team 21
student0209@sample.tri-ai.test,Team 21
student0210@sample.tri-ai.test,Team 21
student0211@sample.tri-ai.test,Team 22
student0212@sample.tri-ai.test,Team 22
student0213@sample.tri-ai.test,Team 22
student0214@sample.tri-ai.test,Team 22
student0215@sample.tri-ai.test,Team 22
student0216@sample.tri-ai.test,Team 22
student0217@sample.tri-ai.test,Team 22
student0218@sample.tri-ai.test,Team 22
student0219@sample.tri-ai.test,Team 22
student0220@sample.tri-ai.test,Team 22
student0221@sample.tri-ai.test,Team 23
student0222@sample.tri-ai.test,Team 23
student0223@sample.tri-ai.test,Team 23
student0224@sample.tri-ai.test,Team 23
student0225@sample.tri-ai.test,Team 23
student0226@sample.tri-ai.test,Team 23
student0227@sample.tri-ai.test,Team 23
student0228@sample.tri-ai.test,Team 23
student0229@sample.tri-ai.test,Team 23
student0230@sample.tri-ai.test,Team 23
student0231@sample.tri-ai.test,Team 24
student0232@sample.tri-ai.test,Team 24
student0233@sample.tri-ai.test,Team 24
student0234@sample.tri-ai.test,Team 24
student0235@sample.tri-ai.test,Team 24
student0236@sample.tri-ai.test,Team 24
student0237@sample.tri-ai.test,Team 24
student0238@sample.tri-ai.test,Team 24
student0239@sample.tri-ai.test,Team 24
student0240@sample.tri-ai.test,Team 24
student0241@sample.tri-ai.test,Team 25
student0242@sample.tri-ai.test,Team 25
student0243@sample.tri-ai.test,Team 25
student0244@sample.tri-ai.test,Team 25
student0245@sample.tri-ai.test,Team 25
student0246@sample.tri-ai.test,Team 25
student0247@sample.tri-ai.test,Team 25
student0248@sample.tri-ai.test,Team 25
student0249@sample.tri-ai.test,Team 25
student0250@sample.tri-ai.test,Team 25
student0251@sample.tri-ai.test,Team 26
student0252@sample.tri-ai.test,Team 26
student0253@sample.tri-ai.test,Team 26
student0254@sample.tri-ai.test,Team 26
student0255@sample.tri-ai.test,Team 26
student0256@sample.tri-ai.test,Team 26
student0257@sample.tri-ai.test,Team 26
student0258@sample.tri-ai.test,Team 26
student0259@sample.tri-ai.test,Team 26
student0260@sample.tri-ai.test,Team 26
student0261@sample.tri-ai.test,Team 27
student0262@sample.tri-ai.test,Team 27
student0263@sample.tri-ai.test,Team 27
student0264@sample.tri-ai.test,Team 27
student0265@sample.tri-ai.test,Team 27
student0266@sample.tri-ai.test,Team 27
student0267@sample.tri-ai.test,Team 27
student0268@sample.tri-ai.test,Team 27
student0269@sample.tri-ai.test,Team 27
student0270@sample.tri-ai.test,Team 27
student0271@sample.tri-ai.test,Team 28
student0272@sample.tri-ai.test,Team 28
student0273@sample.tri-ai.test,Team 28
student0274@sample.tri-ai.test,Team 28
student0275@sample.tri-ai.test,Team 28
student0276@sample.tri-ai.test,Team 28
student0277@sample.tri-ai.test,Team 28
student0278@sample.tri-ai.test,Team 28
student0279@sample.tri-ai.test,Team 28
student0280@sample.tri-ai.test,Team 28
student0281@sample.tri-ai.test,Team 29
student0282@sample.tri-ai.test,Team 29
student0283@sample.tri-ai.test,Team 29
student0284@sample.tri-ai.test,Team 29
student0285@sample.tri-ai.test,Team 29
student0286@sample.tri-ai.test,Team 29
student0287@sample.tri-ai.test,Team 29
student0288@sample.tri-ai.test,Team 29
student0289@sample.tri-ai.test,Team 29
student0290@sample.tri-ai.test,Team 29
student0291@sample.tri-ai.test,Team 30
student0292@sample.tri-ai.test,Team 30
student0293@sample.tri-ai.test,Team 30
student0294@sample.tri-ai.test,Team 30
student0295@sample.tri-ai.test,Team 30
student0296@sample.tri-ai.test,Team 30
student0297@sample.tri-ai.test,Team 30
student0298@sample.tri-ai.test,Team 30
student0299@sample.tri-ai.test,Team 30
student0300@sample.tri-ai.test,Team 30
student0301@sample.tri-ai.test,Team 31
student0302@sample.tri-ai.test,Team 31
student0303@sample.tri-ai.test,Team 31
student0304@sample.tri-ai.test,Team 31
student0305@sample.tri-ai.test,Team 31
student0306@sample.tri-ai.test,Team 31
student0307@sample.tri-ai.test,Team 31
student0308@sample.tri-ai.test,Team 31
student0309@sample.tri-ai.test,Team 31
student0310@sample.tri-ai.test,Team 31
student0311@sample.tri-ai.test,Team 32
student0312@sample.tri-ai.test,Team 32
student0313@sample.tri-ai.test,Team 32
student0314@sample.tri-ai.test,Team 32
student0315@sample.tri-ai.test,Team 32
student0316@sample.tri-ai.test,Team 32
student0317@sample.tri-ai.test,Team 32
student0318@sample.tri-ai.test,Team 32
student0319@sample.tri-ai.test,Team 32
student0320@sample.tri-ai.test,Team 32
student0321@sample.tri-ai.test,Team 33
student0322@sample.tri-ai.test,Team 33
student0323@sample.tri-ai.test,Team 33
student0324@sample.tri-ai.test,Team 33
student0325@sample.tri-ai.test,Team 33
student0326@sample.tri-ai.test,Team 33
student0327@sample.tri-ai.test,Team 33
student0328@sample.tri-ai.test,Team 33
student0329@sample.tri-ai.test,Team 33
student0330@sample.tri-ai.test,Team 33
student0331@sample.tri-ai.test,Team 34
student0332@sample.tri-ai.test,Team 34
student0333@sample.tri-ai.test,Team 34
student0334@sample.tri-ai.test,Team 34
student0335@sample.tri-ai.test,Team 34
student0336@sample.tri-ai.test,Team 34
student0337@sample.tri-ai.test,Team 34
student0338@sample.tri-ai.test,Team 34
student0339@sample.tri-ai.test,Team 34
student0340@sample.tri-ai.test,Team 34
student0341@sample.tri-ai.test,Team 35
student0342@sample.tri-ai.test,Team 35
student0343@sample.tri-ai.test,Team 35
student0344@sample.tri-ai.test,Team 35
student0345@sample.tri-ai.test,Team 35
student0346@sample.tri-ai.test,Team 35
student0347@sample.tri-ai.test,Team 35
student0348@sample.tri-ai.test,Team 35
student0349@sample.tri-ai.test,Team 35
student0350@sample.tri-ai.test,Team 35
student0351@sample.tri-ai.test,Team 36
student0352@sample.tri-ai.test,Team 36
student0353@sample.tri-ai.test,Team 36
student0354@sample.tri-ai.test,Team 36
student0355@sample.tri-ai.test,Team 36
student0356@sample.tri-ai.test,Team 36
student0357@sample.tri-ai.test,Team 36
student0358@sample.tri-ai.test,Team 36
student0359@sample.tri-ai.test,Team 36
student0360@sample.tri-ai.test,Team 36
student0361@sample.tri-ai.test,Team 37
student0362@sample.tri-ai.test,Team 37
student0363@sample.tri-ai.test,Team 37
student0364@sample.tri-ai.test,Team 37
student0365@sample.tri-ai.test,Team 37
student0366@sample.tri-ai.test,Team 37
student0367@sample.tri-ai.test,Team 37
student0368@sample.tri-ai.test,Team 37
student0369@sample.tri-ai.test,Team 37
student0370@sample.tri-ai.test,Team 37
student0371@sample.tri-ai.test,Team 38
student0372@sample.tri-ai.test,Team 38
student0373@sample.tri-ai.test,Team 38
student0374@sample.tri-ai.test,Team 38
student0375@sample.tri-ai.test,Team 38
student0376@sample.tri-ai.test,Team 38
student0377@sample.tri-ai.test,Team 38
student0378@sample.tri-ai.test,Team 38
student0379@sample.tri-ai.test,Team 38
student0380@sample.tri-ai.test,Team 38
student0381@sample.tri-ai.test,Team 39
student0382@sample.tri-ai.test,Team 39
student0383@sample.tri-ai.test,Team 39
student0384@sample.tri-ai.test,Team 39
student0385@sample.tri-ai.test,Team 39
student0386@sample.tri-ai.test,Team 39
student0387@sample.tri-ai.test,Team 39
student0388@sample.tri-ai.test,Team 39
student0389@sample.tri-ai.test,Team 39
student0390@sample.tri-ai.test,Team 39
student0391@sample.tri-ai.test,Team 40
student0392@sample.tri-ai.test,Team 40
student0393@sample.tri-ai.test,Team 40
student0394@sample.tri-ai.test,Team 40
student0395@sample.tri-ai.test,Team 40
student0396@sample.tri-ai.test,Team 40
student0397@sample.tri-ai.test,Team 40
student0398@sample.tri-ai.test,Team 40
student0399@sample.tri-ai.test,Team 40
student0400@sample.tri-ai.test,Team 40
student0401@sample.tri-ai.test,Team 41
student0402@sample.tri-ai.test,Team 41
student0403@sample.tri-ai.test,Team 41
student0404@sample.tri-ai.test,Team 41
student0405@sample.tri-ai.test,Team 41
student0406@sample.tri-ai.test,Team 41
student0407@sample.tri-ai.test,Team 41
student0408@sample.tri-ai.test,Team 41
student0409@sample.tri-ai.test,Team 41
student0410@sample.tri-ai.test,Team 41
student0411@sample.tri-ai.test,Team 42
student0412@sample.tri-ai.test,Team 42
student0413@sample.tri-ai.test,Team 42
student0414@sample.tri-ai.test,Team 42
student0415@sample.tri-ai.test,Team 42
student0416@sample.tri-ai.test,Team 42
student0417@sample.tri-ai.test,Team 42
student0418@sample.tri-ai.test,Team 42
student0419@sample.tri-ai.test,Team 42
student0420@sample.tri-ai.test,Team 42
student0421@sample.tri-ai.test,Team 43
student0422@sample.tri-ai.test,Team 43
student0423@sample.tri-ai.test,Team 43
student0424@sample.tri-ai.test,Team 43
student0425@sample.tri-ai.test,Team 43
student0426@sample.tri-ai.test,Team 43
student0427@sample.tri-ai.test,Team 43
student0428@sample.tri-ai.test,Team 43
student0429@sample.tri-ai.test,Team 43
student0430@sample.tri-ai.test,Team 43
student0431@sample.tri-ai.test,Team 44
student0432@sample.tri-ai.test,Team 44
student0433@sample.tri-ai.test,Team 44
student0434@sample.tri-ai.test,Team 44
student0435@sample.tri-ai.test,Team 44
student0436@sample.tri-ai.test,Team 44
student0437@sample.tri-ai.test,Team 44
student0438@sample.tri-ai.test,Team 44
student0439@sample.tri-ai.test,Team 44
student0440@sample.tri-ai.test,Team 44
student0441@sample.tri-ai.test,Team 45
student0442@sample.tri-ai.test,Team 45
student0443@sample.tri-ai.test,Team 45
student0444@sample.tri-ai.test,Team 45
student0445@sample.tri-ai.test,Team 45
student0446@sample.tri-ai.test,Team 45
student0447@sample.tri-ai.test,Team 45
student0448@sample.tri-ai.test,Team 45
student0449@sample.tri-ai.test,Team 45
student0450@sample.tri-ai.test,Team 45
student0451@sample.tri-ai.test,Team 46
student0452@sample.tri-ai.test,Team 46
student0453@sample.tri-ai.test,Team 46
student0454@sample.tri-ai.test,Team 46
student0455@sample.tri-ai.test,Team 46
student0456@sample.tri-ai.test,Team 46
student0457@sample.tri-ai.test,Team 46
student0458@sample.tri-ai.test,Team 46
student0459@sample.tri-ai.test,Team 46
student0460@sample.tri-ai.test,Team 46
student0461@sample.tri-ai.test,Team 47
student0462@sample.tri-ai.test,Team 47
student0463@sample.tri-ai.test,Team 47
student0464@sample.tri-ai.test,Team 47
student0465@sample.tri-ai.test,Team 47
student0466@sample.tri-ai.test,Team 47
student0467@sample.tri-ai.test,Team 47
student0468@sample.tri-ai.test,Team 47
student0469@sample.tri-ai.test,Team 47
student0470@sample.tri-ai.test,Team 47
student0471@sample.tri-ai.test,Team 48
student0472@sample.tri-ai.test,Team 48
student0473@sample.tri-ai.test,Team 48
student0474@sample.tri-ai.test,Team 48
student0475@sample.tri-ai.test,Team 48
student0476@sample.tri-ai.test,Team 48
student0477@sample.tri-ai.test,Team 48
student0478@sample.tri-ai.test,Team 48
student0479@sample.tri-ai.test,Team 48
student0480@sample.tri-ai.test,Team 48
student0481@sample.tri-ai.test,Team 49
student0482@sample.tri-ai.test,Team 49
student0483@sample.tri-ai.test,Team 49
student0484@sample.tri-ai.test,Team 49
student0485@sample.tri-ai.test,Team 49
student0486@sample.tri-ai.test,Team 49
student0487@sample.tri-ai.test,Team 49
student0488@sample.tri-ai.test,Team 49
student0489@sample.tri-ai.test,Team 49
student0490@sample.tri-ai.test,Team 49
student0491@sample.tri-ai.test,Team 50
student0492@sample.tri-ai.test,Team 50
student0493@sample.tri-ai.test,Team 50
student0494@sample.tri-ai.test,Team 50
student0495@sample.tri-ai.test,Team 50
student0496@sample.tri-ai.test,Team 50
student0497@sample.tri-ai.test,Team 50
student0498@sample.tri-ai.test,Team 50
student0499@sample.tri-ai.test,Team 50
student0500@sample.tri-ai.test,Team 50
student0501@sample.tri-ai.test,Team 51
student0502@sample.tri-ai.test,Team 51
student0503@sample.tri-ai.test,Team 51
student0504@sample.tri-ai.test,Team 51
student0505@sample.tri-ai.test,Team 51
student0506@sample.tri-ai.test,Team 51
student0507@sample.tri-ai.test,Team 51
student0508@sample.tri-ai.test,Team 51
student0509@sample.tri-ai.test,Team 51
student0510@sample.tri-ai.test,Team 51
student0511@sample.tri-ai.test,Team 52
student0512@sample.tri-ai.test,Team 52
student0513@sample.tri-ai.test,Team 52
student0514@sample.tri-ai.test,Team 52
student0515@sample.tri-ai.test,Team 52
student0516@sample.tri-ai.test,Team 52
student0517@sample.tri-ai.test,Team 52
student0518@sample.tri-ai.test,Team 52
student0519@sample.tri-ai.test,Team 52
student0520@sample.tri-ai.test,Team 52
student0521@sample.tri-ai.test,Team 53
student0522@sample.tri-ai.test,Team 53
student0523@sample.tri-ai.test,Team 53
student0524@sample.tri-ai.test,Team 53
student0525@sample.tri-ai.test,Team 53
student0526@sample.tri-ai.test,Team 53
student0527@sample.tri-ai.test,Team 53
student0528@sample.tri-ai.test,Team 53
student0529@sample.tri-ai.test,Team 53
student0530@sample.tri-ai.test,Team 53
student0531@sample.tri-ai.test,Team 54
student0532@sample.tri-ai.test,Team 54
student0533@sample.tri-ai.test,Team 54
student0534@sample.tri-ai.test,Team 54
student0535@sample.tri-ai.test,Team 54
student0536@sample.tri-ai.test,Team 54
student0537@sample.tri-ai.test,Team 54
student0538@sample.tri-ai.test,Team 54
student0539@sample.tri-ai.test,Team 54
student0540@sample.tri-ai.test,Team 54
student0541@sample.tri-ai.test,Team 55
student0542@sample.tri-ai.test,Team 55
student0543@sample.tri-ai.test,Team 55
student0544@sample.tri-ai.test,Team 55
student0545@sample.tri-ai.test,Team 55
student0546@sample.tri-ai.test,Team 55
student0547@sample.tri-ai.test,Team 55
student0548@sample.tri-ai.test,Team 55
student0549@sample.tri-ai.test,Team 55
student0550@sample.tri-ai.test,Team 55
student0551@sample.tri-ai.test,Team 56
student0552@sample.tri-ai.test,Team 56
student0553@sample.tri-ai.test,Team 56
student0554@sample.tri-ai.test,Team 56
student0555@sample.tri-ai.test,Team 56
student0556@sample.tri-ai.test,Team 56
student0557@sample.tri-ai.test,Team 56
student0558@sample.tri-ai.test,Team 56
student0559@sample.tri-ai.test,Team 56
student0560@sample.tri-ai.test,Team 56
student0561@sample.tri-ai.test,Team 57
student0562@sample.tri-ai.test,Team 57
student0563@sample.tri-ai.test,Team 57
student0564@sample.tri-ai.test,Team 57
student0565@sample.tri-ai.test,Team 57
student0566@sample.tri-ai.test,Team 57
student0567@sample.tri-ai.test,Team 57
student0568@sample.tri-ai.test,Team 57
student0569@sample.tri-ai.test,Team 57
student0570@sample.tri-ai.test,Team 57
student0571@sample.tri-ai.test,Team 58
student0572@sample.tri-ai.test,Team 58
student0573@sample.tri-ai.test,Team 58
student0574@sample.tri-ai.test,Team 58
student0575@sample.tri-ai.test,Team 58
student0576@sample.tri-ai.test,Team 58
student0577@sample.tri-ai.test,Team 58
student0578@sample.tri-ai.test,Team 58
student0579@sample.tri-ai.test,Team 58
student0580@sample.tri-ai.test,Team 58
student0581@sample.tri-ai.test,Team 59
student0582@sample.tri-ai.test,Team 59
student0583@sample.tri-ai.test,Team 59
student0584@sample.tri-ai.test,Team 59
student0585@sample.tri-ai.test,Team 59
student0586@sample.tri-ai.test,Team 59
student0587@sample.tri-ai.test,Team 59
student0588@sample.tri-ai.test,Team 59
student0589@sample.tri-ai.test,Team 59
student0590@sample.tri-ai.test,Team 59
student0591@sample.tri-ai.test,Team 60
student0592@sample.tri-ai.test,Team 60
student0593@sample.tri-ai.test,Team 60
student0594@sample.tri-ai.test,Team 60
student0595@sample.tri-ai.test,Team 60
student0596@sample.tri-ai.test,Team 60
student0597@sample.tri-ai.test,Team 60
student0598@sample.tri-ai.test,Team 60
student0599@sample.tri-ai.test,Team 60
student0600@sample.tri-ai.test,Team 60
student0601@sample.tri-ai.test,Team 61
student0602@sample.tri-ai.test,Team 61
student0603@sample.tri-ai.test,Team 61
student0604@sample.tri-ai.test,Team 61
student0605@sample.tri-ai.test,Team 61
student0606@sample.tri-ai.test,Team 61
student0607@sample.tri-ai.test,Team 61
student0608@sample.tri-ai.test,Team 61
student0609@sample.tri-ai.test,Team 61
student0610@sample.tri-ai.test,Team 61
student0611@sample.tri-ai.test,Team 62
student0612@sample.tri-ai.test,Team 62
student0613@sample.tri-ai.test,Team 62
student0614@sample.tri-ai.test,Team 62
student0615@sample.tri-ai.test,Team 62
student0616@sample.tri-ai.test,Team 62
student0617@sample.tri-ai.test,Team 62
student0618@sample.tri-ai.test,Team 62
student0619@sample.tri-ai.test,Team 62
student0620@sample.tri-ai.test,Team 62
student0621@sample.tri-ai.test,Team 63
student0622@sample.tri-ai.test,Team 63
student0623@sample.tri-ai.test,Team 63
student0624@sample.tri-ai.test,Team 63
student0625@sample.tri-ai.test,Team 63
student0626@sample.tri-ai.test,Team 63
student0627@sample.tri-ai.test,Team 63
student0628@sample.tri-ai.test,Team 63
student0629@sample.tri-ai.test,Team 63
student0630@sample.tri-ai.test,Team 63
student0631@sample.tri-ai.test,Team 64
student0632@sample.tri-ai.test,Team 64
student0633@sample.tri-ai.test,Team 64
student0634@sample.tri-ai.test,Team 64
student0635@sample.tri-ai.test,Team 64
student0636@sample.tri-ai.test,Team 64
student0637@sample.tri-ai.test,Team 64
student0638@sample.tri-ai.test,Team 64
student0639@sample.tri-ai.test,Team 64
student0640@sample.tri-ai.test,Team 64
student0641@sample.tri-ai.test,Team 65
student0642@sample.tri-ai.test,Team 65
student0643@sample.tri-ai.test,Team 65
student0644@sample.tri-ai.test,Team 65
student0645@sample.tri-ai.test,Team 65
student0646@sample.tri-ai.test,Team 65
student0647@sample.tri-ai.test,Team 65
student0648@sample.tri-ai.test,Team 65
student0649@sample.tri-ai.test,Team 65
student0650@sample.tri-ai.test,Team 65
student0651@sample.tri-ai.test,Team 66
student0652@sample.tri-ai.test,Team 66
student0653@sample.tri-ai.test,Team 66
student0654@sample.tri-ai.test,Team 66
student0655@sample.tri-ai.test,Team 66
student0656@sample.tri-ai.test,Team 66
student0657@sample.tri-ai.test,Team 66
student0658@sample.tri-ai.test,Team 66
student0659@sample.tri-ai.test,Team 66
student0660@sample.tri-ai.test,Team 66
student0661@sample.tri-ai.test,Team 67
student0662@sample.tri-ai.test,Team 67
student0663@sample.tri-ai.test,Team 67
student0664@sample.tri-ai.test,Team 67
student0665@sample.tri-ai.test,Team 67
student0666@sample.tri-ai.test,Team 67
student0667@sample.tri-ai.test,Team 67
student0668@sample.tri-ai.test,Team 67
student0669@sample.tri-ai.test,Team 67
student0670@sample.tri-ai.test,Team 67
student0671@sample.tri-ai.test,Team 68
student0672@sample.tri-ai.test,Team 68
student0673@sample.tri-ai.test,Team 68
student0674@sample.tri-ai.test,Team 68
student0675@sample.tri-ai.test,Team 68
student0676@sample.tri-ai.test,Team 68
student0677@sample.tri-ai.test,Team 68
student0678@sample.tri-ai.test,Team 68
student0679@sample.tri-ai.test,Team 68
student0680@sample.tri-ai.test,Team 68
student0681@sample.tri-ai.test,Team 69
student0682@sample.tri-ai.test,Team 69
student0683@sample.tri-ai.test,Team 69
student0684@sample.tri-ai.test,Team 69
student0685@sample.tri-ai.test,Team 69
student0686@sample.tri-ai.test,Team 69
student0687@sample.tri-ai.test,Team 69
student0688@sample.tri-ai.test,Team 69
student0689@sample.tri-ai.test,Team 69
student0690@sample.tri-ai.test,Team 69
student0691@sample.tri-ai.test,Team 70
student0692@sample.tri-ai.test,Team 70
student0693@sample.tri-ai.test,Team 70
student0694@sample.tri-ai.test,Team 70
student0695@sample.tri-ai.test,Team 70
student0696@sample.tri-ai.test,Team 70
student0697@sample.tri-ai.test,Team 70
student0698@sample.tri-ai.test,Team 70
student0699@sample.tri-ai.test,Team 70
